Nome	Texto	Foto
Paulo Ribeiro	Gostei bastante da parte dos treinos... o atendimento do personal José Antonio é imediato e atencioso, não nos deixa esperando e com dúvidas. O grande contraponto é a nutricionista, uma decepção total, a Dra Ana não nos responde e o cardápio é bastante limitado. Se você busca um acompanhamento nutricional, esse aplicativo não lhe atenderá, procure outro. Um único ponto de atenção é a necessidade de rede para acessar os treinos já definidos. Numa eventualidade de estar em um local sem rede, não podemos acessar as nossas séries. Seria interessante a opção offline para as séries já elaboradas e em andamento.	C:/1.projetos/crawler-playstore-rating/imgs/Paulo Ribeiro.jpg
Suellen Silva	Super recomendo pra quem principalmente já tem uma noção de treino mas não pode gastar muito com personal. Meu personal é super eficiente, responde todas as minhas dúvidas e sempre se preocupa quando paro de treinar. Top!!!	C:/1.projetos/crawler-playstore-rating/imgs/Suellen Silva.jpg
Natalia Fernandes	Este aplicativo é fantástico. É um compilado de um baixo valor a ser investido com um excelente serviço prestado. Apesar de as vezes as mensagens parecerem serem meio que programadas, já tive a experiência de ter receber orientações pessoais do meu personal. Além disso adora as frases motivacionais no início da interface do aplicativo e também o fato de poder controlar meus desempenho. A única coisa que acho chato é que as vezes o aplicativo trava quando não está conectado a internet. Deveria poder ter mais ações offline. Fora isso amo o aplicativo. E com certeza vou fazer a renovação do plano.	C:/1.projetos/crawler-playstore-rating/imgs/Natalia Fernandes.jpg
Alexandre Araujo	Ótimo. O (mestre, professor, instrutor) orienta com bastante atenção, muda o exercício caso tenha alguma reclamação e o melhor fica no seu pé qdo vc não está treinando com frequência. Nota 1000! Parabéns	C:/1.projetos/crawler-playstore-rating/imgs/Alexandre Araujo.jpg
Valdeci Val	Excelente aplicativo, todos os exercícios com vídeos e explicações, caso exista alguma dúvida em qualquer exercício o professor que é um excelente profissional está sempre a disposição. Já treinava, mas com este app estou visualizando os resultados mais nitidamente.	C:/1.projetos/crawler-playstore-rating/imgs/Valdeci Val.jpg
Flávia Pareja	Estou treinando a 2 meses e tenho tido ótimos resultados. O profissional monta o plano de acordo com seu objetivo, substitui aparelhos e exercícios quando necessário, avalia, e interage com o aluno. Sem dúvida usarei por muito tempo. O custo-benefício é excelente. Não troco por nenhum outro...	C:/1.projetos/crawler-playstore-rating/imgs/Flávia Pareja.jpg
Adriana Pinheiro	Estou fazendo a 1 mês e já perdi 3 kilos e 200 gramas está me ajudando muito. Professor super atencioso criou um treino ótimo que não foi fácil no começo hehe Só que não estou mais conseguindo entrar. Diz que preciso estar conectada a Internet mas estou. Alguém pode me ajudar?	C:/1.projetos/crawler-playstore-rating/imgs/Adriana Pinheiro.jpg
Deividy Rodrigues	App excelente, professor super atencioso. Em menos de 24horas já preparou meus treinos . Porém acredito que vou sentir um pouco de dificuldade, pois gostaria de acessar os treinos no começo no modo offline, ou se gerasse a ficha offline seria muito interessante e perfeito. Fora esses detalhes , estou super satisfeito.	C:/1.projetos/crawler-playstore-rating/imgs/Deividy Rodrigues.jpg
Luis Felipe Resende	App Excelente! Super recomendo. Para exercícios no geral, é como se o personal estivesse do lado para instruir. Traz até uma motivação maior para treinar, porque os exercícios são fiéis e o personal é altamente qualificado. Vale muito a pena pagar por esse app, e ainda mais, valor camarada e que cabe no bolso! Recomendo.	C:/1.projetos/crawler-playstore-rating/imgs/Luis Felipe Resende.jpg
Um usuário do Google	Já tenho meu treino feito por eles a mais de um ano gosto muito super indico, treino mudado na hora certa dúvidas tiradas e facil acesso profissionais de qualidade e preço ótimo pode confiar...vale apena	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Lucas Guerra	Excelente app. Principalmente pra quem já tem certa prática no mundo fitness. Pra quem não tem também, até pq é bem intuitivo e didático. O personal é uma pessoa de verdade! Ele te incentiva, muda o treino quando necessário. Vale a pena cada centavo!	C:/1.projetos/crawler-playstore-rating/imgs/Lucas Guerra.jpg
Um usuário do Google	Sem palavras pra descrever esse App, super fácil e os treinos são totalmente personalizados de acordo com cada necessidade. E sem contar que o personal sempre esta disposto a nos responder quando precisamos.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Maryah Marinho Frazão	Excelente! Vale muito a pena pagar pelo app, até pq o preço é incrivelmente barato se comparado com a qualidade do servico oferecido. Com esse aplicativo temos a atenção de um profissional muito capacitado que nos atende prontamente. Parabéns pelo App!	C:/1.projetos/crawler-playstore-rating/imgs/Maryah Marinho Frazão.jpg
Sidinei Fonseca	O melhor!!! Não achava que seria tão bom. App super inteligente, fácil, moderno, funcional. Meu personal, muito preparado e atencioso. É muito bom ter treinos adaptados individualmente para você. O suporte que o personal dá é muito bom. Incentiva você a continuar treinando, pois tem uma pessoa com interesse nos seu progresso. Parabéns a toda equipe deste excelente app.	C:/1.projetos/crawler-playstore-rating/imgs/Sidinei Fonseca.jpg
Ana Paula Maia	Fiz o cadastro e assinei o plano, entretanto, tive um probleminha e não pude executar o plano de treinos de imediato (o que foi passado bem rápido, aliás!) mas em breve vou começar. O que eu achei ótimo é que de fato, o personal fica em cima, perguntando pq você ainda não tá se mexendo!!! Rsrs. Adorei os exercícios e a ficha que ele montou pra mim. Espero começar na segunda e voltar daqui a algum tempo dizendo que já notei resultados, haha! Excelente!!!	C:/1.projetos/crawler-playstore-rating/imgs/Ana Paula Maia.jpg
Alex Inacio De Carvalho	Ótimo app prático e objetivo no começo confesso que fiquei com medo porque a picaretagem é muito grande na internet, mas o app me convenceu o professor super atencioso responde muito rápido as perguntas eu mesmo já indiquei o app para vários amigos que hoje também estão usando o app.	C:/1.projetos/crawler-playstore-rating/imgs/Alex Inacio De Carvalho.jpg
Lilian Coutto	Excelente aplicativo o custo é acessível a todos, se tiver disciplina e força de vontade com certeza terá o resultado esperado. Me surpreendi bastante com app. App fácil , o desenvolvedor realmente pensou e merece os parabéns!	C:/1.projetos/crawler-playstore-rating/imgs/Lilian Coutto.jpg
deise vianna	Muito bom, super recomendo. Estou usando a 1 mês e meio e já consegui emagrecer 3 kg. Personal super atencioso, tive que adaptar minha série para fazer em casa, pois vou ficar sem ir a academia durante 2 meses, e fui prontamente atendida.	C:/1.projetos/crawler-playstore-rating/imgs/deise vianna.jpg
Edson Santos	Estou, realmente, satisfeito com este aplicativo. Está valendo cada centavo investido, fiz o pagamento para acessória por 12 meses. Além de ter um valor super acessível, tem o acompanhamento quase que imediato do instrutor. Estou me sentindo com um Personal ao meu lado, nos treinos. Indico a todos que já tenham uma certa experiência na execução dos treinos e queiram uma acessória personalizada. Parabéns a vocês que com profissionalismo disponibilizam esta ferramenta para os amantes de treinos físicos!	C:/1.projetos/crawler-playstore-rating/imgs/Edson Santos.jpg
Um usuário do Google	Pelos comentários fiquei apaixonada com muita vontade de entrar ....mais no momento não tenho dinheiro pra poder pagar ...mais quero agradecer a VC professor por nos dar essa oportunidade de mudar de vida e se sentir melhor minha oração e que o senhor te abençoe a cada dia mais e realize TDs seus sonhos ...como disse ainda não estou no grupo por não ter dinheiro mais e muito muito bom ....obrigado	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Simone_C_Produções	Super satisfeita com o app se vc tiver disposição força de vontade com certeza esse app só vai ajudar na busca por seus objetivos.. o personal volta e meia pergunta como estão os treinos e sempre monitorando se estamos executando todos... O custo que se tem é extremamente válido. ..	C:/1.projetos/crawler-playstore-rating/imgs/Simone_C_Produções.jpg
Um usuário do Google	Excelente app. Indico de olhos fechados. Quando adquiri não imaginei que fosse tão bom e que teria de fato acompanhamento. O profissional é super atencioso. Não deixa passar nada, está sempre atento se vc está treinando ou não. Enfim, vale muito a pena!	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Stéphanie Araújo	É top! Vale muito a pena. O treino é individualizado de acordo com seu desempenho no teste e objetivo. O professor te acompanha e avalia seu desempenho através das medidas corporais, responde suas dúvidas e ainda adapta o treino de acordo com suas necessidades e preferências. Estou adorando!	C:/1.projetos/crawler-playstore-rating/imgs/Stéphanie Araújo.jpg
Um usuário do Google	gente to adorando ,porem é preciso manter o ritmo de treinamento,me sinto em uma academia pois posso tirar qualquer duvida a qualquer hora,troco os exercicios que nao consigo executar...estao de parabens..!	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Toda Curitibana	Usei durante três meses e os treinos foram excelentes. Mesmo tendo dificuldades em ganhar massa, cresci 3 kg. O bacana é que o professor conversa com você e é possível tirar suas dúvidas ao longos dos treinos. Vale o investimento se a pessoa tiver disciplina!	C:/1.projetos/crawler-playstore-rating/imgs/Toda Curitibana.jpg
Um usuário do Google	Simplesmente o melhor, profissional extremamente capacitado e experiente e agora conta tambem com uma nutricionista, sem dúvida o mais completo. Estou muito satisfeito. Podem baixar sem medo. Parabéns a todos os envolvidos.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Um usuário do Google	Melhor App custo benefício para quem realmente busca resultados com acompanhamento de um profissional. Mesmo não sendo presente, oferece um ótimo acompanhamento de quem realmente detém conhecimento e o sabe aplicar.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Um usuário do Google	Mega feliz!!!! Em duas semanas que instalei o app hoje após minha primeira pesagem após o acompanhamento da nutri linda Ana e meu bestpersonal José Antônio Corbini estou colhendo os primeiros frutos! Obrigada  ? Eu recomendo. É muito em conta. Quando digo pras pessoas quanto pago por um personal e uma nutricionista que trabalham tão bem ninguém acredita estar.Amo Personal Virtual ?	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
